Tijdstip,Apparaat Temperatuur (°C),Temperatuur (°C),Luchtdruk (hPa),Luchtvochtigheid (%),Lichtintensiteit (lux),Windsnelheid (m/s),Windrichting (graden)
2025-05-12 12:30:31,nvt,nvt,nvt,nvt,nvt,nvt,nvt
2025-05-12 12:30:41,22.3,14.8,661.22,60.52,1438.57,nvt,45
2025-05-12 12:30:51,35.21,27.71,1008.8,16.31,704.32,0.46,90
2025-05-12 12:31:01,35.38,27.88,1008.8,16.16,718.66,1.05,90
2025-05-12 12:31:11,35.23,27.73,1008.82,16.17,708.41,1.29,90
2025-05-12 12:31:22,35.4,27.9,1008.83,16.01,708.0,1.29,90
2025-05-12 12:31:32,35.63,28.13,1008.84,15.93,708.41,0.38,90
2025-05-12 12:31:42,35.88,28.38,1008.83,15.68,702.55,0.57,90
2025-05-12 12:31:52,36.03,28.53,1008.83,15.45,710.37,0.76,90
2025-05-12 12:32:02,35.92,28.42,1008.82,15.49,711.26,0.71,90
2025-05-12 12:32:12,36.06,28.56,1008.86,15.51,720.32,1.05,90
2025-05-12 12:32:22,35.78,28.28,1008.83,15.66,709.36,1.47,90
2025-05-12 12:32:32,35.88,28.38,1008.85,15.74,704.26,1.9,90
2025-05-12 12:32:42,35.76,28.26,1008.89,15.68,708.77,1.72,90
2025-05-12 12:32:52,35.77,28.27,1008.82,15.63,713.03,1.38,90
2025-05-12 12:33:02,35.69,28.19,1008.83,15.72,704.8,1.29,90
2025-05-12 12:33:13,35.92,28.42,1008.83,15.62,701.42,0.52,90
2025-05-12 12:33:23,36.14,28.64,1008.87,15.35,704.5,0.05,90
2025-05-12 12:33:33,36.29,28.79,1008.85,15.37,698.99,0.09,90
2025-05-12 12:33:43,36.4,28.9,1008.81,15.12,698.58,0.1,90
2025-05-12 12:33:53,36.57,29.07,1008.84,15.12,696.98,nvt,90
2025-05-12 12:34:03,36.67,29.17,1008.84,15.17,696.44,0.05,90
2025-05-12 12:34:13,36.78,29.28,1008.82,14.98,696.44,nvt,90
2025-05-12 12:34:23,36.97,29.47,1008.79,14.79,698.99,nvt,90
2025-05-12 12:34:33,37.13,29.63,1008.81,14.85,696.56,nvt,90
2025-05-12 12:34:43,37.32,29.82,1008.86,14.61,697.92,nvt,90
2025-05-12 12:34:54,37.18,29.68,1008.84,14.63,692.47,nvt,90
2025-05-12 12:35:04,37.1,29.6,1008.84,14.8,696.15,0.19,45
2025-05-12 12:35:14,36.88,29.38,1008.78,14.75,697.51,0.14,270
2025-05-12 12:35:24,37.11,29.61,1008.78,14.6,697.04,nvt,45
2025-05-12 12:35:34,37.21,29.71,1008.82,14.59,681.87,0.05,45
2025-05-12 12:35:44,37.21,29.71,1008.79,14.64,695.2,nvt,45
2025-05-12 12:35:54,37.26,29.76,1008.8,14.74,676.47,nvt,45
2025-05-12 12:36:04,37.38,29.88,1008.83,14.74,693.42,nvt,45
2025-05-12 12:36:14,37.29,29.79,1008.81,14.73,680.15,nvt,45
2025-05-12 12:36:24,37.46,29.96,1008.82,14.57,689.69,nvt,45
2025-05-12 12:36:35,37.61,30.11,1008.78,14.89,693.72,0.05,45
